131,Micronesia (Federated States of),7.7,..,11.5,..,12.9,..,12.9,..,12,..,11.9,..,12.4,..,13.1,..
112,Moldova (Republic of),5.8,..,9.6,..,12.2,..,10.9,..,10.9,..,10.3,..,10.3,..,10.2,..
n.a,Monaco,1.7,..,2.1,..,2.3,..,2.2,..,2.2,..,2.1,..,2.1,..,2,..
92,Mongolia,5.5,..,4.2,..,4.2,..,4.1,..,3.7,..,4,..,3.8,..,3.9,..
50,Montenegro,6.7,..,7.7,..,5.9,..,5.8,..,6.1,..,6,..,5.9,..,6,..
123,Morocco,4,..,4.8,..,5.9,..,5.7,..,5.7,..,5.6,..,5.7,..,5.5,..
180,Mozambique,3.7,..,6.4,..,5.1,..,4.4,..,5.1,..,4.7,..,5.5,..,5.4,..
148,Myanmar,1.8,..,1.8,..,1.9,..,1.7,..,1.9,..,2,..,4.9,..,4.9,..
129,Namibia,11.5,..,12.4,..,9.5,..,9.7,..,9.2,..,8.6,..,8.2,..,8.9,..
n.a,Nauru,13.5,..,12.6,..,10.7,..,8.2,..,7.5,..,4.9,..,5.5,..,4.8,..
149,Nepal,3.6,..,4.5,..,5,..,5.1,..,5.2,..,5.7,..,5.8,..,6.1,..
10,Netherlands,7.1,..,9.3,..,10.4,..,10.5,..,10.9,..,10.9,..,10.9,..,10.7,..
16,New Zealand,7.5,..,8.3,..,9.7,..,9.6,..,9.7,..,9.4,..,9.4,..,9.3,..
124,Nicaragua,5.2,..,5.5,..,6.5,..,7.1,..,7.5,..,7.4,..,7.6,..,7.8,..
189,Niger,5.7,..,7.2,..,6.2,..,6.5,..,6,..,6.1,..,5.9,..,7.2,..
157,Nigeria,2.6,..,3.8,..,3.3,..,3.3,..,3.3,..,3.4,..,3.3,..,3.6,..
1,Norway,7.7,..,8.3,..,8.9,..,8.8,..,8.8,..,8.9,..,9.3,..,10,..
48,Oman,3.1,..,2.6,..,2.7,..,2.6,..,2.6,..,2.8,..,3.5,..,3.8,..
150,Pakistan,3.1,..,2.9,..,2.6,..,2.4,..,2.4,..,2.6,..,2.7,..,2.7,..
60,Palau,9.5,..,9,..,11.5,..,10.4,..,11.4,..,11.8,..,11.9,..,10.6,..
66,Panama,7.5,..,6.6,..,6.6,..,6,..,6.1,..,6.6,..,6.8,..,7,..
153,Papua New Guinea,3,..,3.7,..,3.1,..,3.2,..,3.7,..,4.9,..,4.5,..,3.8,..
110,Paraguay,5.8,..,5,..,6.2,..,6.7,..,7.6,..,7,..,7.6,..,7.8,..
89,Peru,4.4,..,4.5,..,4.7,..,4.6,..,4.7,..,4.8,..,5.1,..,5.3,..
113,Philippines,3.2,..,3.9,..,4.3,..,4.2,..,4.4,..,4.5,..,4.2,..,4.4,..
33,Poland,5.3,..,5.8,..,6.4,..,6.2,..,6.2,..,6.4,..,6.2,..,6.3,..
41,Portugal,8.4,..,9.4,..,9.8,..,9.5,..,9.3,..,9.1,..,9,..,9,..
37,Qatar,2,..,2.6,..,1.8,..,1.6,..,1.7,..,2.1,..,2.4,..,3.1,..
52,Romania,4.2,..,5.5,..,5.7,..,4.7,..,4.7,..,5.2,..,5,..,5,..
49,Russian Federation,5.4,..,5.1,..,5.3,..,5.1,..,5.3,..,5.5,..,5.7,..,5.6,..
158,Rwanda,4.6,..,7.5,..,9.3,..,8.9,..,8.5,..,7.9,..,8.2,..,7.9,..
72,Saint Kitts and Nevis,4.8,..,5.1,..,5.7,..,5.7,..,5.7,..,5.6,..,5.7,..,5.6,..
90,Saint Lucia,4.9,..,5.6,..,6.6,..,6.9,..,6.9,..,7.3,..,5.8,..,6,..
99,Saint Vincent and the Grenadines,3.8,..,3.7,..,4.4,..,4.3,..,4.5,..,4.4,..,4.2,..,4.2,..
104,Samoa,5.5,..,5.2,..,5.3,..,5.4,..,4.9,..,6.1,..,6,..,5.6,..
n.a,San Marino,5.1,..,4.1,..,5.8,..,6.5,..,7.1,..,7,..,6.9,..,6.8,..
143,Sao Tome and Principe,9.7,..,12.1,..,5.3,..,5.5,..,7.3,..,9.1,..,8.9,..,9.8,..
39,Saudi Arabia,4.2,..,3.4,..,3.5,..,3.6,..,3.9,..,4.4,..,5.1,..,5.8,..
164,Senegal,4.6,..,4.6,..,4,..,4,..,3.8,..,3.8,..,3.9,..,4,..
67,Serbia,6.5,..,8.7,..,10.1,..,9.7,..,9.9,..,9.9,..,9.8,..,9.4,..
62,Seychelles,4.6,..,3.9,..,3.6,..,3.5,..,4.4,..,3.5,..,3.4,..,3.4,..
184,Sierra Leone,9.9,..,9.8,..,9.2,..,10.6,..,8.9,..,11.6,..,19.7,..,18.3,..
9,Singapore,3.4,..,3,..,3.2,..,3.2,..,3.4,..,3.7,..,3.9,..,4.3,..
38,Slovakia,5.3,..,6.6,..,7.8,..,7.4,..,7.6,..,7.5,..,6.9,..,6.9,..
25,Slovenia,7.8,..,8,..,8.6,..,8.5,..,8.7,..,8.8,..,8.5,..,8.5,..
152,Solomon Islands,5.8,..,10.1,..,7.4,..,7.5,..,9.3,..,6.8,..,8.4,..,8,..
113,South Africa,7.4,..,6.7,..,7.4,..,7.5,..,7.8,..,7.7,..,7.9,..,8.2,..
187,South Sudan,..,..,..,..,..,..,..,..,2.6,..,2.1,..,2.1,..,2.5,..
26,Spain,6.8,..,7.7,..,9,..,9.1,..,9.1,..,9,..,9.1,..,9.2,..
76,Sri Lanka,4.1,..,3.8,..,3,..,2.9,..,2.6,..,2.8,..,2.8,..,3,..
167,Sudan,3.6,..,4.1,..,5.3,..,6.1,..,5.3,..,6.3,..,5.3,..,6.3,..
